,source,target,weight
0,0,1,0.3057850860342909
1,0,2,0.35156438062615614
2,0,3,0.40114417444198613
3,0,4,0.8588650335933432
4,0,5,0.5663867925847853
5,0,6,0.3036944274298017
6,0,7,0.14279564341684836
7,0,8,0.26635864236506024
8,1,2,0.1887291756697731
9,1,3,0.23018735503900334
10,1,4,0.800124882934437
11,1,5,0.4122354734424759
12,1,6,0.5097321851655097
13,1,7,0.3027866619120244
14,1,8,0.18688385970347254
15,2,3,0.22801580588745474
16,2,4,0.7995610591992457
17,2,5,0.36659070349936507
18,2,6,0.5195230803085847
19,2,7,0.317271203011655
20,2,8,0.18962355067991588
21,3,4,0.7678964587257362
22,3,5,0.34802404626341743
23,3,6,0.5762447937744228
24,3,7,0.3808681395940203
25,3,8,0.24811691760735877
26,4,5,0.6878902741436519
27,4,6,0.9008941138337112
28,4,7,0.8540864919561113
29,4,8,0.8214267919513534
30,5,6,0.6824646015295808
31,5,7,0.5453013285723745
32,5,8,0.4356888455303136
33,6,7,0.32892443860289244
34,6,8,0.46492243099160624
35,7,8,0.24518320395905957
