cases,hubs,authorities,hubs_normalized,authorities_normalized
Obergefell_v_Hodges,2.771132755045021,0.0,0.5308637431808244,0.0
Lawrence_v_Texas,-1.1587317645231592e-16,0.31193373518847617,-2.4526609853193616e-17,0.10574019033838815
Bowers_v_Hardwick,0.0,0.3119337351884763,0.0,0.10574019033838813
Zablocki_v_Redhail,0.47098290836303086,0.3119337351884764,0.09022582886099505,0.10574019033838813
Turner_v_Safley,0.47098290836303086,0.3119337351884764,0.09022582886099505,0.10574019033838813
Windsor_v_United_States,0.47098290836303086,0.31193373518847634,0.09022582886099505,0.10574019033838818
PPvCasey,0.48290594870827624,6.459717764806721e-17,0.0925099164119251,-2.4767399515889054e-17
Roe_v_Wade,0.5530578099621561,0.054358513157144,0.10594885382426554,0.01842660436927477
Griswold_v_Connecticut,6.53455227395774e-17,0.4285474355511322,-7.857451260327774e-18,0.14527023624689023
Lochner_v_New_York,0.0,0.06225518720551192,0.0,0.021103441539227302
NAACP_v_State_of_Alabama,0.0,6.53455227395774e-17,0.0,-1.3903806170182163e-17
Union_Pacific_Railroad_v_Botsford,0.0,0.06225518720551203,0.0,0.021103441539227306
Loving_v_Virginia,0.0,0.47098290836303086,0.0,0.1596551342750514
Baker_v_Nelson,0.0,0.3119337351884763,0.0,0.1057401903383882
County_of_Sacramento_vs._Lewis,0.0,-9.218132955047818e-17,0.0,9.60701233178392e-18
Romer_v_Evans,0.0,-8.828902454990496e-17,0.0,-2.823959305277624e-17
